citedPaperId,citingPaperId
69e1e582a2e909542afca0b4dd4e1f73d8b4b987,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
873a20b03648610ccc10e266dd381f04e25e815f,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
5e77376fe7b120de1e368d730f15f12e3e599435,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
b4ff6a9d82c1eb6c862c51ca563261b54d785e61,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
5f5d0387c14cd44def66d352acba1013494fffd0,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
ada7405e20ac861d632055bcb871ee4d57afc710,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
dce7daf3d485e83ae503cfa60e7a0ccce994a764,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
e54a5920715b453038a64e65a8c06fa4ce1199db,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
7f7686d2e2af4a7308fa947680f52194b8bb067f,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
c8376be6e5d269467545de4edffe06bb2b74b1c7,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
29641e542dc3bcf96e4a8e6902b9e132a9c399da,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
c39d40e3127a56a0abe12f2fb1d698ea6ba1724d,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
75138d0b517e8c86157548e9dd5429eae4ff3e5a,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
ac441cb1810dce8e41d9cd554366b72aa182bf41,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
2e9622b3c89238cde7a49fc2989d1f17a07d8a11,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
cc095f9ce71982a8dcc0ea1b813a7486b3f6c962,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
0b083953239d0617b534a0d76762fa8350db4e6f,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
5724e138fc08329e0baa08d2090d9424df1cb945,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
a9fa1a56ba118fa3b629fc6308d6b5606751f023,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
d933042eb3c2a8f2e208515490d6b6a400e00fec,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
c0b6f19a4ea6d4223d5e3b1bb4518ef3a186c4ee,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
4853ea0e68e3088721888f73b51dc7db13658460,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
17a91da7f6dcc14eca45a8828a7e2a7ae437894c,a2a514ed839dafdd0fb76d6c2615f25f35bf8087
69e1e582a2e909542afca0b4dd4e1f73d8b4b987,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
ada7405e20ac861d632055bcb871ee4d57afc710,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
dce7daf3d485e83ae503cfa60e7a0ccce994a764,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
e54a5920715b453038a64e65a8c06fa4ce1199db,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
7f7686d2e2af4a7308fa947680f52194b8bb067f,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
c8376be6e5d269467545de4edffe06bb2b74b1c7,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
29641e542dc3bcf96e4a8e6902b9e132a9c399da,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
566fd1a8f958b30d551eb0e1837e230ad55a6e76,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
1072e6d03a19b157356c5da57257b2b92eefc68c,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
c39d40e3127a56a0abe12f2fb1d698ea6ba1724d,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
ac441cb1810dce8e41d9cd554366b72aa182bf41,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
0b083953239d0617b534a0d76762fa8350db4e6f,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
5724e138fc08329e0baa08d2090d9424df1cb945,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
a9fa1a56ba118fa3b629fc6308d6b5606751f023,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
17a91da7f6dcc14eca45a8828a7e2a7ae437894c,6c755fc901d0b41a5d73c265f64a5aacf62e83b8
81f6e15b44891e6536e484e64e17c6bf3477f013,61c931d50f3e32f70abf1bccddf2479212dd2fde
0b5f0595c8fbc74222275cd6ba2132985498b782,61c931d50f3e32f70abf1bccddf2479212dd2fde
5ce8f7ebd87592f8ec5c9b8030fee5fbe48b5bd5,61c931d50f3e32f70abf1bccddf2479212dd2fde
2a3b9ca643baebb0391dac2da41212ecb2d5f6ad,61c931d50f3e32f70abf1bccddf2479212dd2fde
be711cd2776384680f906a057a44516ab6fcc031,61c931d50f3e32f70abf1bccddf2479212dd2fde
73630bd117a5912eba72f34657249ffd018209a2,61c931d50f3e32f70abf1bccddf2479212dd2fde
8151af11d1ff5256ac8fb209e140f92d4d21bc22,61c931d50f3e32f70abf1bccddf2479212dd2fde
23f9c77f9a839b82efdcce5080b9d490a6fcab3c,61c931d50f3e32f70abf1bccddf2479212dd2fde
c6df324933192571935b22f0cdf38a249aea986a,61c931d50f3e32f70abf1bccddf2479212dd2fde
8bdde505c6f0cd0e3eecf5347c49285a9415b9ac,61c931d50f3e32f70abf1bccddf2479212dd2fde
261e47de5025c4b9378baeb82504ef8a4ad1b6d2,61c931d50f3e32f70abf1bccddf2479212dd2fde
ec5f7910bf95fadce2383a37ab233c169f0c9fb8,61c931d50f3e32f70abf1bccddf2479212dd2fde
0f355a50081694308a0be1c5cf76b7ac3ca364f0,61c931d50f3e32f70abf1bccddf2479212dd2fde
79b77a171d17bb28a832a7ed5f1916db8cd32af3,2c3eef2f17369912e330281d54b535675077e4ca
8f2b70e6184037e4d47af04c57a2110e02897e9e,2c3eef2f17369912e330281d54b535675077e4ca
69ee900992524262c3d81ee0bf9985a35b9aab7d,2c3eef2f17369912e330281d54b535675077e4ca
2a3b9ca643baebb0391dac2da41212ecb2d5f6ad,2c3eef2f17369912e330281d54b535675077e4ca
1c10e3924ce1b7dcadd584ec547bc7bce06d5a21,2c3eef2f17369912e330281d54b535675077e4ca
5f0d24b94af0c04c4b9cef925728c833317fb34d,2c3eef2f17369912e330281d54b535675077e4ca
c61795876dc5db8bb0468b30a40b9fb88454b1fb,2c3eef2f17369912e330281d54b535675077e4ca
068d28f32d8246db1346b94a6ad0e6603df2c30e,2c3eef2f17369912e330281d54b535675077e4ca
637fc26afa4389bc69ee8e95e75e0aacc2006cb0,2c3eef2f17369912e330281d54b535675077e4ca
5daadcca1fdd1ec39bbc1424d1088b221be363b2,2c3eef2f17369912e330281d54b535675077e4ca
f9e1da529b8cdb11cec3257f11eac82b2eb299de,2c3eef2f17369912e330281d54b535675077e4ca
9f1be2c224573795e35e008f5357a8ef706a4fea,2c3eef2f17369912e330281d54b535675077e4ca
8bdde505c6f0cd0e3eecf5347c49285a9415b9ac,2c3eef2f17369912e330281d54b535675077e4ca
9b605f02fe91967dbf84897d2ba647f8e718dacf,2c3eef2f17369912e330281d54b535675077e4ca
e386c6427a45db4ff3e568c4ab2927a6222946c4,2c3eef2f17369912e330281d54b535675077e4ca
88b7df9646a435463fad59a602137b37ee805bfb,2c3eef2f17369912e330281d54b535675077e4ca
69e1e582a2e909542afca0b4dd4e1f73d8b4b987,e67a2817089312746d69b38ce9abfdc4b1bc69c3
5f5d0387c14cd44def66d352acba1013494fffd0,e67a2817089312746d69b38ce9abfdc4b1bc69c3
ada7405e20ac861d632055bcb871ee4d57afc710,e67a2817089312746d69b38ce9abfdc4b1bc69c3
dce7daf3d485e83ae503cfa60e7a0ccce994a764,e67a2817089312746d69b38ce9abfdc4b1bc69c3
e54a5920715b453038a64e65a8c06fa4ce1199db,e67a2817089312746d69b38ce9abfdc4b1bc69c3
cd93ac14bb79ac43569182929853f0c3c503668d,e67a2817089312746d69b38ce9abfdc4b1bc69c3
d1528ad07f3c6004902251f7c3f4c933eeb5d2fc,e67a2817089312746d69b38ce9abfdc4b1bc69c3
fe06e668ed3bbb17866cfce3658bb30532e7186b,e67a2817089312746d69b38ce9abfdc4b1bc69c3
7f7686d2e2af4a7308fa947680f52194b8bb067f,e67a2817089312746d69b38ce9abfdc4b1bc69c3
c8376be6e5d269467545de4edffe06bb2b74b1c7,e67a2817089312746d69b38ce9abfdc4b1bc69c3
