authorId,decision,paperId,reviewText
2108844303,yes,a2a514ed839dafdd0fb76d6c2615f25f35bf8087,Great insights into Database Systems. Could be a game changer.
1492120545,no,a2a514ed839dafdd0fb76d6c2615f25f35bf8087,Paper is lacking in depth on Query Partitioning. Needs better analysis.
2112662828,yes,a2a514ed839dafdd0fb76d6c2615f25f35bf8087,Significant improvements are required for the section on Management Systems.
31131132,yes,a2a514ed839dafdd0fb76d6c2615f25f35bf8087,Not convinced by the arguments around Database Systems. Needs major revisions.
134898163,no,6c755fc901d0b41a5d73c265f64a5aacf62e83b8,Paper is lacking in depth on Graph database. Needs better analysis.
143911374,yes,6c755fc901d0b41a5d73c265f64a5aacf62e83b8,Great insights into linked data. Could be a game changer.
101108644,yes,6c755fc901d0b41a5d73c265f64a5aacf62e83b8,This paper presents promising ideas about database.
2109512262,no,61c931d50f3e32f70abf1bccddf2479212dd2fde,"Interesting research, especially the section on systems paper."
2131285720,no,61c931d50f3e32f70abf1bccddf2479212dd2fde,Paper is lacking in depth on query. Needs better analysis.
1490915504,no,61c931d50f3e32f70abf1bccddf2479212dd2fde,"Interesting research, especially the section on graph database."
2424392,no,61c931d50f3e32f70abf1bccddf2479212dd2fde,Paper is lacking in depth on systems paper. Needs better analysis.
70209653,no,61c931d50f3e32f70abf1bccddf2479212dd2fde,The paper covers query but lacks depth in some areas.
1403082590,no,2c3eef2f17369912e330281d54b535675077e4ca,Not convinced by the arguments around first-class citizens. Needs major revisions.
143911374,yes,2c3eef2f17369912e330281d54b535675077e4ca,Not convinced by the arguments around pattern matching. Needs major revisions.
2054838160,yes,2c3eef2f17369912e330281d54b535675077e4ca,The paper introduces predecessor G-Core but needs further clarification.
2109512262,no,e67a2817089312746d69b38ce9abfdc4b1bc69c3,Paper is lacking in depth on GDBs. Needs better analysis.
2054838160,yes,e67a2817089312746d69b38ce9abfdc4b1bc69c3,"Interesting research, especially the section on fraud detection."
144615268,no,e67a2817089312746d69b38ce9abfdc4b1bc69c3,"Some parts of the paper on GDBs are worth considering, but overall unclear."
66327914,yes,e67a2817089312746d69b38ce9abfdc4b1bc69c3,Great insights into Logic bugs. Could be a game changer.
2112409349,no,fe4c5074f021cd1c810892c1b6bc267b23aa6e5c,Not convinced by the arguments around general research topic. Needs major revisions.
2118207557,no,fe4c5074f021cd1c810892c1b6bc267b23aa6e5c,Not convinced by the arguments around general research topic. Needs major revisions.
2142659443,yes,fe4c5074f021cd1c810892c1b6bc267b23aa6e5c,Significant improvements are required for the section on general research topic.
2152692124,no,d1ae4ab5047489c2b010c7ce72262982ad66ad60,The paper introduces graph workloads but needs further clarification.
2142659443,no,d1ae4ab5047489c2b010c7ce72262982ad66ad60,Paper is lacking in depth on Douyin. Needs better analysis.
2158585032,no,d1ae4ab5047489c2b010c7ce72262982ad66ad60,"Some parts of the paper on naturally generate are worth considering, but overall unclear."
23214019,yes,75a8faa6861b7fdd49b36615df1835f1c4bbcb65,The paper covers general research topic but lacks depth in some areas.
49661434,yes,75a8faa6861b7fdd49b36615df1835f1c4bbcb65,"Interesting research, especially the section on general research topic."
2321412875,yes,75a8faa6861b7fdd49b36615df1835f1c4bbcb65,The paper covers general research topic but lacks depth in some areas.
2118120527,yes,5534c3b8bfe03ec0ee3ea3aafd0a4471b07f8b7d,The paper introduces semantic queries but needs further clarification.
150358651,yes,5534c3b8bfe03ec0ee3ea3aafd0a4471b07f8b7d,Not convinced by the arguments around database. Needs major revisions.
2145413970,no,5534c3b8bfe03ec0ee3ea3aafd0a4471b07f8b7d,Significant improvements are required for the section on database.
2116502347,no,5534c3b8bfe03ec0ee3ea3aafd0a4471b07f8b7d,"Some parts of the paper on graph are worth considering, but overall unclear."
2051972259,no,1cff064f815111a71a98afda7aee1867ad617901,Paper is lacking in depth on Province. Needs better analysis.
2065718,yes,1cff064f815111a71a98afda7aee1867ad617901,This paper presents promising ideas about data.
123816348,yes,1cff064f815111a71a98afda7aee1867ad617901,This paper presents promising ideas about Hainan.
3010622,yes,7bb477077968d68aa7a6059d8d6d801fb28274da,The paper introduces general research topic but needs further clarification.
2304958793,no,7bb477077968d68aa7a6059d8d6d801fb28274da,Paper is lacking in depth on general research topic. Needs better analysis.
134898163,yes,7bb477077968d68aa7a6059d8d6d801fb28274da,This paper presents promising ideas about general research topic.
